GTY_Code,Flag_CTY_Code,TFN,GAR_Code,Calendar_Year,Location
OT,SUN,1,48,1986,B
OT,SUN,1,58,1971,B
OT,SUN,1,58,1972,B
OT,SUN,1,58,1973,B
OT,SUN,1,58,1974,B
OT,SUN,1,58,1975,B
OT,SUN,1,58,1978,B
OT,SUN,1,481,1980,B
OT,SUN,1,481,1986,B
OT,SUN,1,482,1978,B
OT,SUN,1,482,1980,B
OT,SUN,1,483,1971,B
OT,SUN,1,483,1972,B
OT,SUN,1,483,1974,B
OT,SUN,1,483,1976,B
OT,SUN,1,483,1979,B
OT,SUN,1,483,1980,B
OT,SUN,1,483,1982,B
OT,SUN,1,483,1986,B
OT,SUN,1,584,1987,B
OT,SUN,1,585,1981,B
OT,SUN,1,585,1982,B
OT,SUN,1,481,1979,B
OT,SUN,1,482,1979,B
OT,SUN,1,483,1973,B
OT,SUN,1,483,1977,B
OT,SUN,6,48,1974,M
OT,SUN,6,48,1975,M
OT,SUN,6,48,1976,M
OT,SUN,6,48,1977,M
OT,SUN,1,48,1978,M
OT,SUN,6,48,1978,M
OT,SUN,1,48,1979,M
OT,SUN,1,58,1979,M
OT,SUN,6,58,1978,M
OT,SUN,6,58,1979,M
OT,SUN,6,88,1977,M
OT,SUN,6,88,1979,M
OT,SUN,1,88,1981,M
OT,SUN,6,88,1982,M
OT,SUN,6,481,1980,B
OT,SUN,6,481,1981,M
OT,SUN,6,481,1982,M
OT,SUN,6,481,1986,M
OT,SUN,6,482,1980,M
OT,SUN,6,482,1981,M
OT,SUN,6,482,1982,M
OT,SUN,1,482,1983,M
OT,SUN,1,482,1985,B
OT,SUN,6,483,1980,B
OT,SUN,1,483,1981,B
OT,SUN,1,483,1983,B
OT,SUN,6,483,1983,M
OT,SUN,6,483,1984,M
OT,SUN,6,483,1985,M
OT,SUN,6,483,1986,M
OT,SUN,6,486,1981,M
OT,SUN,6,486,1983,M
OT,SUN,6,584,1980,M
OT,SUN,6,584,1981,M
OT,SUN,6,584,1982,M
OT,SUN,1,584,1982,M
OT,SUN,1,5842,1988,B
OT,SUN,1,58,1976,B
OT,SUN,1,58,1977,B
OT,SUN,1,483,1975,B
OT,SUN,1,585,1980,B
OT,SUN,1,5851,1989,B
OT,SUN,1,5851,1990,B
OT,SUN,1,5851,1991,B
